original_name,authoritative_name,uni_id,uni_data_source
East Stroudsburg University of Pennsylvania,East Stroudsburg University of Pennsylvania,212115,ipeds
Eastern Illinois,Eastern Illinois University,144892,ipeds
Eastern Illinois University,Eastern Illinois University,144892,ipeds
Eastern Michigan University,Eastern Michigan University,169798,ipeds
Edinboro University of Pennsylvania,Edinboro University of Pennsylvania,212160,ipeds
Edward Waters College,Edward Waters College,133526,ipeds
Elmhurst College,Elmhurst College,144962,ipeds
Emerson College,Emerson College,165662,ipeds
Emmanuel Christian Seminary,Emmanuel Christian Seminary,220136,ipeds
Emory University,Emory University,139658,ipeds
Florida State University,Florida State University,134097,ipeds
Fuller Theological Seminary,Fuller Theological Seminary,114840,ipeds
George Mason University,George Mason University,232186,ipeds
George Washington University,George Washington University,131469,ipeds
Georgetown,Georgetown University,131496,ipeds
Georgetown University,Georgetown University,131496,ipeds
Georgia Institute of Technology,Georgia Institute of Technology-Main Campus,139755,ipeds
Georgia State University,Georgia State University,139940,ipeds
Grossmont College,Grossmont College,115296,ipeds
Guilford College,Guilford College,198613,ipeds
Harvard,Harvard University,166027,ipeds
Harvard University,Harvard University,166027,ipeds
Holy Cross,Holy Cross College,150774,ipeds
Houston Community College,Houston Community College,225423,ipeds
Howard University,Howard University,131520,ipeds
Indiana University of Pennsylvania,Indiana University of Pennsylvania-Main Campus,213020,ipeds
Iowa State University,Iowa State University,153603,ipeds
Johns Hopkins,Johns Hopkins University,162928,ipeds
Johns Hopkins University,Johns Hopkins University,162928,ipeds
Kansas State University,Kansas State University,155399,ipeds
Kennesaw State University,Kennesaw State University,140164,ipeds
Kennesaw State University,Kennesaw State University,140164,ipeds
Kennesaw State University,Kennesaw State University,486840,ipeds
Kennesaw State University,Kennesaw State University,486840,ipeds
Kentucky State University,Kentucky State University,157058,ipeds
Kenyon College,Kenyon College,203535,ipeds
Kutztown University of Pennsylvania,Kutztown University of Pennsylvania,213349,ipeds
Kwantlen Polytechnic University,Kwantlen Polytechnic University,IAU-010661-1,glued
Lane Community,Lane Community College,209038,ipeds
Lesley,Lesley University,166452,ipeds
Lesley University,Lesley University,166452,ipeds
Lewis & Clark,Lewis & Clark College,209056,ipeds
Lewis & Clark College,Lewis & Clark College,209056,ipeds
Lewis University,Lewis University,146612,ipeds
Lutheran School of Theology at Chicago,Lutheran School of Theology at Chicago,146728,ipeds
Macalester College,Macalester College,173902,ipeds
Mansfield University of Pennsylvania,Mansfield University of Pennsylvania,213783,ipeds
Massachusetts College of Art and Design,Massachusetts College of Art and Design,166674,ipeds
Massachusetts Institute of Technology,Massachusetts Institute of Technology,166683,ipeds
Michigan State University,Michigan State University,171100,ipeds
Middlebury College,Middlebury College,230959,ipeds
Millersville University of Pennsylvania,Millersville University of Pennsylvania,214041,ipeds
Milligan College,Milligan College,221014,ipeds
Milligan College,Milligan College,221014,ipeds
Milligan College,Milligan College,486901,ipeds
Milligan College,Milligan College,486901,ipeds
Morehouse College,Morehouse College,140553,ipeds
Mount Holyoke,Mount Holyoke College,166939,ipeds
Mount Royal University,Mount Royal University,IAU-012199-1,glued
Murray State University,Murray State University,157401,ipeds
New York University,New York University,193900,ipeds
Northeastern,Northeastern University,167358,ipeds
Northeastern Illinois,Northeastern Illinois University,147776,ipeds
Northeastern Illinois University,Northeastern Illinois University,147776,ipeds
Northeastern University,Northeastern University,167358,ipeds
Northwestern,Northwestern University,147767,ipeds
Northwestern University,Northwestern University,147767,ipeds
Notre Dame,Notre Dame College,204468,ipeds
Oberlin,Oberlin College,204501,ipeds
Oberlin College,Oberlin College,204501,ipeds
Ohio State University,Ohio State University-Main Campus,204796,ipeds
Ohio University,Ohio University-Main Campus,204857,ipeds
Oklahoma State University,Oklahoma State University-Main Campus,207388,ipeds
Otterbein University,Otterbein University,204936,ipeds
Pacific,Pacific University,209612,ipeds
Pacific University,Pacific University,209612,ipeds
Palomar College,Palomar College,120971,ipeds
Pitzer College,Pitzer College,121257,ipeds
Pomona,Pomona College,121345,ipeds
Pomona College,Pomona College,121345,ipeds
Princeton,Princeton University,186131,ipeds
Princeton University,Princeton University,186131,ipeds
Reed College,Reed College,209922,ipeds
Saginaw Valley State University,Saginaw Valley State University,172051,ipeds
Saint Mary's,Saint Mary's University,IAU-014271-1,glued
Salt Lake Community College,Salt Lake Community College,230746,ipeds
San Diego City College,San Diego City College,122339,ipeds
San Diego State,San Diego State University,122409,ipeds
San Diego State University,San Diego State University,122409,ipeds
Shaw,Shaw University,199643,ipeds
Shippensburg University of Pennsylvania,Shippensburg University of Pennsylvania,216010,ipeds
Simon Fraser University,Simon Fraser University,IAU-015440-1,glued
Slippery Rock University of Pennsylvania,Slippery Rock University of Pennsylvania,216038,ipeds
Smith College,Smith College,167835,ipeds
South Carolina State,South Carolina State University,218733,ipeds
South Puget Sound Community College,South Puget Sound Community College,236656,ipeds
Southern Connecticut State University,Southern Connecticut State University,130493,ipeds
Southern Methodist University,Southern Methodist University,228246,ipeds
Southwestern College,Southwestern College,123800,ipeds
Southwestern College,Southwestern College,123800,ipeds
Southwestern College,Southwestern College,123800,ipeds
Southwestern College,Southwestern College,155900,ipeds
Southwestern College,Southwestern College,155900,ipeds
Southwestern College,Southwestern College,155900,ipeds
Southwestern College,Southwestern College,188207,ipeds
