original_name,authoritative_name,uni_id,uni_data_source,canonical_event_key,notes
University of Oregon,University of Oregon,209551,ipeds,20170120_Eugene_March_TrumpAgainst,
University of Oregon,University of Oregon,209551,ipeds,20180426_Eugene_March_SexualAssault,
University of Oregon,University of Oregon,209551,ipeds,20140424_Eugene_Disruption_AntiRacism,
University of Oregon,University of Oregon,209551,ipeds,20140424_Eugene_March_SexualAssault,
University of Alaska Fairbanks,University of Alaska Fairbanks,NA,NA,20160913_Fairbanks_Rally_Environmental,
University of Alaska Fairbanks,University of Alaska Fairbanks,NA,NA,20161020_Fairbanks_Rally_SexualAssault,
Sonoma State University,Sonoma State University,NA,NA,20151022_RohnertPark_Rally_PoliceViolence,
Sonoma State University,Sonoma State University,NA,NA,20161031_RohnetPark_Petition_IndigenousIssues,
Sonoma State University,Sonoma State University,NA,NA,20170905_SonomaCounty_March_Trump(Against),
George Mason University,George Mason University,232186,ipeds,20170820_Westerville_Petition_WhiteSupremacy(Against),
George Mason University,George Mason University,232186,ipeds,20170131_FairfaxCounty_Rally_ImmigrationFor,
George Mason University,George Mason University,232186,ipeds,20170820_Westerville_Petition_WhiteSupremacy(Against),
University of Arkansas,University of Arkansas,NA,NA,20170304_Fayetteville_March_TransgenderIssues,
University of Arkansas,University of Arkansas,NA,NA,20170423_Fayetteville_March_PublicFunding,
University of Arkansas,University of Arkansas,NA,NA,20170420_Fayetteville_March_SexualAssault,
University of Arkansas,University of Arkansas,NA,NA,20170831_Fayetteville_Rally_GunControl,
University of Arkansas,University of Arkansas,NA,NA,20170917_Fayetteville_Rally_ImmigrationFor,
University of Arkansas,University of Arkansas,NA,NA,20180127_Fayetteville_March_TrumpAgainst,
University of Arkansas,University of Arkansas,NA,NA,20180407_Fayetteville_Petition_LabourAndWork,
Fayetteville State University,Fayetteville State University,NA,NA,20170131_Fayetteville_March_OtherIssue,
SUNY at Fredonia,SUNY at Fredonia,NA,NA,20161116_Fredonia_March_TrumpAgainst,
SUNY at Fredonia,SUNY at Fredonia,NA,NA,20170121_Fredonia_March_Feminism,
Calvin College,Calvin College,NA,NA,20170308_GrandRapids_Walkout_Feminism,
Grand Rapids Community College,Grand Rapids Community College,NA,NA,20170420_GrandRapids_Rally_AbortionAccess,
Grand Rapids Community College,Grand Rapids Community College,NA,NA,20170420_GrandRapids_Rally_Pro-Life,
Grand Rapids Community College,Grand Rapids Community College,NA,NA,20170802_GrandRapids_Rally_Tuition,
Grand Rapids Community College,Grand Rapids Community College,NA,NA,20180405_GrandRapids_InfoDistribution_Abortion(Against),
Grand Rapids Community College,Grand Rapids Community College,NA,NA,20180405_GrandRapids_OtherForm_AbortionAccess,
Denison University,Denison University,NA,NA,20170306_Granville_Rally_FaithBasedDiscrimination,
University of Northern Colorado,University of Northern Colorado,NA,NA,20161027_Greeley_Demonstration_TrumpAgainst,
University of Northern Colorado,University of Northern Colorado,NA,NA,20161101_Greeley_Rally_TrumpAgainst,
University of Northern Colorado,University of Northern Colorado,NA,NA,20161106_Greeley_Rally_TrumpAgainst,
University of Northern Colorado,University of Northern Colorado,NA,NA,20161116_Greeley_March_CampusClimate,
University of Northern Colorado,University of Northern Colorado,NA,NA,20170304_Greeley_March_ImmigrationFor,
University of Northern Colorado,University of Northern Colorado,NA,NA,20170307_Greeley_Strike_Feminism,
University of Northern Colorado,University of Northern Colorado,NA,NA,20170308_Greeley_Strike_Feminism,
University of Northern Colorado,University of Northern Colorado,NA,NA,20170830_Greeley_Vigil_FarRight(Against),
University of Northern Colorado,University of Northern Colorado,NA,NA,20170907_Greeley_Rally_Trump(Against),
University of Kentucky,University of Kentucky,NA,NA,20160326_Lexington_Vigil_SexualAssault,
University of Kentucky,University of Kentucky,NA,NA,20161017_Lexington_Rally_OtherIssue,
University of Kentucky,University of Kentucky,NA,NA,20161017_Lexington_Rally,
University of Kentucky,University of Kentucky,NA,NA,20161111_Lexington_March_SexualAssault,
University of Kentucky,University of Kentucky,NA,NA,20170422_Lexington_March_PublicFunding,
University of Kentucky,University of Kentucky,NA,NA,20160401_Frankfort_Demonstration_LabourAndWork,
University of Kentucky,University of Kentucky,NA,NA,20170926_Lexington_Demonstration_AntiRacism,
University of Kentucky,University of Kentucky,NA,NA,20171129_Lexington_Walkout_Tuition,
University of Kentucky,University of Kentucky,NA,NA,20180412_Lexington_Demonstration_PublicFundingForHigherEducation,
University of Kentucky,University of Kentucky,NA,NA,20140421_Greencastle_SymbolicDisplay_LabourAndWork,
University of Kentucky,University of Kentucky,NA,NA,20140421_Lexington_SymbolicDisplay_LabourAndWork,
University of Kentucky,University of Kentucky,NA,NA,20141203_Lexington_Rally_PoliceViolence,
University of Kentucky,University of Kentucky,NA,NA,20150414_Lexington_March_SexualAssault,
College of Menominee Nation,College of Menominee Nation,413617,ipeds,20161202_GreenBay_Rally_IndigenousIssues,
